,nameProject,testCase,prediction
145,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FunctionParserTest.should_parse_functions_with_complex_types_ecj,False
156,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FunctionParserTest.should_fail_parsing_duplicate_function_declaration,True
162,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldInfoParserTest.should_build_normal_column_type,True
165,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldInfoParserTest.should_fail_if_both_partition_and_clustering_column,False
175,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldInfoParserTest.should_build_static_column_info,True
179,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldInfoParserTest.should_build_list_index_info,True
193,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldInfoParserTest.should_generate_field_info_for_UpperCase,False
203,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.CodecFactoryTest.should_create_codec_for_primitive_byte_array,False
222,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.EntityParserTest.should_generate_meta_signature_for_view_javac,True
223,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.EntityParserTest.should_generate_meta_signature_for_immutable_entity_javac,True
225,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.EntityParserTest.should_fail_because_no_matching_field_name_for_declared_constructor_param_javac,True
229,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.EntityParserTest.should_fail_because_incorrect_field_type_for_immutable_constructor_param_javac,True
249,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldParserTest.should_parse_complex_nested_map,False
259,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldParserTest.should_parse_tuple10,False
260,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldParserTest.should_parse_udt,False
263,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldParserTest.should_parse_set_udt,False
318,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest.should_validate_objectByteArray,True
324,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest.should_validate_tuple3,True
331,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.validator.BeanValidatorTest.should_fail_validating_an_interface,True
341,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.validator.cassandra3_0.BeanValidator3_0Test.should_fail_validating_view_because_missing_base_pk,True
343,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.validator.cassandra3_0.BeanValidator3_0Test.should_fail_validating_view_because_more_than_1_non_pk,True
346,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest.should_build_entity_with_clustering_column,False
390,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.bugs.ConsistencyLevelOrderingIT.should_override_consistency_level_map_value_by_static_consistency_setting,True
392,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.bugs.ConsistencyLevelOrderingIT.should_override_cluster_consistency_config_by_achilles_consistency_setting,True
1,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithIndicesForJSON.should_query_using_collection_index_fromJSON,False
2,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithIndicesForJSON.should_query_using_full_collection_index_fromJSON,False
19,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestSchemaGenerator.should_build_schema_for_entity_with_static_column,False
20,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestSchemaGenerator.should_build_schema_for_entity_with_counter_column,False
23,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestSchemaGenerator.should_build_schema_for_complex_types,False
32,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestSchemaGenerator.should_build_schema_for_entity_with_composite_partition_key,False
34,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestSchemaGenerator.should_build_schema_for_view,False
45,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithDSESearch.should_search_numeric_gte_and_lt,False
68,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithStaticCounterColumn.should_dsl_update_static,False
73,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithCustomConstructorAndDeclaredFields.should_dsl_select_one,False
83,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithComplexIndices.should_query_using_full_collection_index,False
88,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithComplexIndices.should_query_using_index_and_clustering_column_slice,False
106,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithStaticAnnotations.should_find_using_static_consistency,False
132,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.AnnotationTreeTest.should_build_trees_map_for_level1_nesting_ecj,False
151,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FunctionParserTest.should_fail_parsing_function_with_void_return_type,False
167,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldInfoParserTest.should_fail_if_both_partition_and_computed_column,True
170,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldInfoParserTest.should_fail_if_both_static_and_computed_column,True
172,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldInfoParserTest.should_fail_if_clustering_column_order_zero,True
173,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldInfoParserTest.should_build_partition_column_info,True
178,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldInfoParserTest.should_build_frozen_column_info,True
191,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldInfoParserTest.should_generate_field_info_for_primitiveBoolean,True
198,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldInfoParserTest.should_fail_compilation_when_no_setter,True
199,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldInfoParserTest.should_fail_compilation_when_no_suitable_setter,True
206,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.CodecFactoryTest.should_create_codec_for_string,True
250,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldParserTest.should_parse_tuple1,False
257,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldParserTest.should_parse_tuple8,False
261,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldParserTest.should_parse_nested_udt,False
267,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldParserTest.should_parse_computed_field,False
279,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldParserTest.should_fail_parsing_codec_from_registry,False
290,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldParserTest.should_fail_parsing_static_column_in_udt,False
291,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldParserTest.should_fail_parsing_non_frozen_collection_in_udt,False
365,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest.should_fail_building_class_with_wrong_computed_column,False
368,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest.should_fail_building_child_class_with_shadowed_field,False
372,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest.should_fail_building_view_meta_without_view_annotation,False
383,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.script.ScriptExecutorTest.should_build_create_function_statements_from_lines_syntax_2,True
389,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.bugs.ConsistencyLevelOrderingIT.should_override_cluster_consistency_level_by_consistency_level_map_value,False
27,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestSchemaGenerator.should_build_schema_for_udt,False
36,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithDSESearch.should_search_text_using_suffix,False
49,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithDSESearch.should_search_date_gte,False
55,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithDSESearch.should_search_date_gte_and_lte,False
57,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithDSESearch.should_search_using_raw_predicates,False
62,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithCompositePartitionKey.should_insert,False
67,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithStaticCounterColumn.should_find,False
74,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithCustomConstructorAndDeclaredFields.should_typed_query,False
87,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithComplexIndices.should_query_using_index_and_clustering_column,False
89,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithComplexIndices.should_query_using_index_and_clustering_column_inequality,True
113,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithStaticColumn.should_find,False
121,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithDSESearchJSON.toString,False
127,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.AnnotationTreeTest.should_build_trees_json_map_javac,False
141,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.AnnotationTreeTest.findFieldByName,False
154,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FunctionParserTest.should_fail_parsing_function_OpsCenter_keyspace_name,False
160,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldInfoParserTest.should_build_static_column_type,True
176,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldInfoParserTest.should_build_computed_column_info,True
182,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldInfoParserTest.should_build_map_entry_index_info,True
187,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldInfoParserTest.should_build_udt_index_info,True
211,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.CodecFactoryTest.should_create_native_codec_for_counter,False
227,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.EntityParserTest.should_fail_because_incorrect_field_type_for_constructor_param_javac,False
231,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.EntityParserTest.should_generate_meta_signature_for_view_ecj,False
234,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldParserTest.should_parse_object_boolean,False
240,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldParserTest.should_parse_transformed_type,False
247,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldParserTest.should_parse_tuple_nesting,False
254,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldParserTest.should_parse_tuple5,False
283,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldParserTest.should_parse_jdk8_local_time,False
313,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldParserTest.should_fail_parsing_wrongascii,False
314,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest.getAllowedTypes,True
323,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest.should_validate_tuple2,False
345,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest.should_build_entity_with_composite_partition_key,False
359,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest.should_build_view_meta,False
362,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest.should_fail_building_class_with_duplicated_cql_name,False
363,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest.should_fail_building_class_with_no_partition_key,False
381,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.script.ScriptExecutorTest.should_build_batch_statements_from_lines,False
387,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.embedded.PortFinderTest.try_to_find_first_port,False
394,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.bugs.ValidateSchemaIT.should_fail_validating_schema_when_partition_key_missing,False
10,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithSASIIndices.should_search_using_eq_non_tokenizer,False
25,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestSchemaGenerator.should_build_schema_for_complex_indices,False
26,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestSchemaGenerator.should_build_schema_for_entity_with_static_annotations,False
31,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestSchemaGenerator.should_build_schema_for_entity_with_simple_partition_key,False
33,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestSchemaGenerator.should_build_schema_for_entity_with_clustering_columns,False
41,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithDSESearch.should_search_numeric_lt,False
43,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithDSESearch.should_search_numeric_gt_and_lt,False
56,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithDSESearch.should_search_using_multiple_predicates,False
82,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithComplexIndices.should_query_using_collection_index,False
91,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestImmutableEntity.should_find_by_id,False
99,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithCounterColumn.should_dsl_update,False
108,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithStaticColumn.should_update,False
110,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithStaticColumn.should_update_static,False
118,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithDSESearchJSON.should_search_numeric_eq_JSON,False
131,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.AnnotationTreeTest.should_build_trees_map_for_level1_nesting_javac,False
189,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldInfoParserTest.should_build_not_indexed_column_index_info,True
190,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldInfoParserTest.should_generate_field_info_for_consistencyLevel,True
196,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldInfoParserTest.should_generate_field_info_for_public_final_columns,True
200,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.CodecFactoryTest.should_create_codec_for_json_map,True
218,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.CodecFactoryTest.should_create_JavaType_for_array_type,True
232,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.EntityParserTest.should_generate_meta_signature_for_complex_types_ecj,True
248,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldParserTest.should_parse_nested_tuple,False
258,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldParserTest.should_parse_tuple9,False
264,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldParserTest.should_parse_map_udt,False
274,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldParserTest.should_parse_codec_overriding_registry,False
294,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldParserTest.should_fail_parsing_SASI_analyzed_but_NoOpAnalyzer,False
303,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldParserTest.should_fail_parsing_SASI_stemming_But_SPARSE,False
308,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldParserTest.should_fail_parsing_SASI_on_set,False
317,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest.should_validate_primitiveByteArray,True
342,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.validator.cassandra3_0.BeanValidator3_0Test.should_fail_validating_view_because_missing_base_collection,True
358,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest.should_build_entity_with_custom_constructor_with_declared_fields,False
388,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.embedded.CassandraEmbeddedServerBuilderTest.should_start_embedded_server_with_listen_and_rpc_address,False
5,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithIndicesForJSON.should_query_using_map_key_entry_fromJSON,False
6,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithIndicesForJSON.should_query_using_index_and_partition_key_asJSON,False
11,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithSASIIndices.should_search_using_end_with,False
12,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithSASIIndices.should_search_using_contains,False
22,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestSchemaGenerator.should_build_schema_for_child_entity,False
24,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestSchemaGenerator.should_build_schema_for_complex_counter,False
35,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithDSESearch.should_search_text_using_prefix,False
59,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithDSESearch.should_search_using_solr_and_partition,False
60,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithDSESearch.toDate,True
85,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithComplexIndices.should_query_using_map_key_value,False
105,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithStaticAnnotations.should_insert_overriding_static_conf,False
109,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithStaticColumn.should_insert_static,False
142,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FunctionParserTest.should_parse_function,True
143,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FunctionParserTest.should_parse_function_with_keyspace,True
148,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FunctionParserTest.should_fail_parsing_function_with_blank_keyspace,True
158,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldInfoParserTest.should_build_partition_column_type,True
197,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldInfoParserTest.should_fail_compilation_when_no_getter,True
205,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.CodecFactoryTest.should_create_codec_for_primitive_byte,True
208,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.CodecFactoryTest.should_create_codec_for_enumerated,True
214,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.CodecFactoryTest.should_fail_creating_codec_for_computed_if_target_type_not_matched,False
215,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.CodecFactoryTest.should_fail_creating_native_codec_for_computed_if_target_type_not_matched,False
230,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.EntityParserTest.should_fail_because_not_public_final_field_type_for_immutable_constructor_param_javac,False
237,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldParserTest.should_parse_enumerated_type,False
238,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldParserTest.should_parse_json_type,False
241,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldParserTest.should_parse_enumerated_set_type,False
282,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldParserTest.should_parse_jdk8_local_date,False
285,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldParserTest.should_parse_non_frozen_udt,False
287,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldParserTest.should_fail_parsing_counter_in_udt,False
293,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldParserTest.should_fail_parsing_SASI_analyzed_but_SPARSE,False
300,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldParserTest.should_fail_parsing_SASI_lowercase_But_NotAnalyzed,False
301,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.FieldParserTest.should_fail_parsing_SASI_lowercase_But_NoAnalyzer,False
316,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest.should_validate_objectByte,True
330,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest.should_fail_on_invalidWildCard,False
337,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.parser.validator.cassandra3_0.BeanValidator3_0Test.should_validate_view_against_base_table,True
348,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest.should_build_entity_with_static_counter_column,False
384,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.script.ScriptExecutorTest.should_build_create_function_statements_from_lines_syntax_3,False
399,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.bugs.MultiLayerNestingIT.should_select_some_columns_from_udt,False
3,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithIndicesForJSON.should_query_using_map_key_index_fromJSON,False
7,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithIndicesForJSON.should_query_using_index_and_clustering_column_fromJSON,False
9,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestEntityWithSASIIndices.should_search_using_like_non_tokenizer,False
15,Achilles_e3099bdce342910951c4862c78751fd81ed4552e,info.archinnov.achilles.it.TestViewSensorByType.should_select_by_slice,False
